Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication *,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
acetyl-l-carnitine,,7/24/12,Treatment of Fragile X syndrome,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Leadiant Biosciences, Inc.",9841 Washingtonian Blvd.,Suite 500,Gaithersburg,Maryland,20878,United States,373112
acetyl-l-carnitine (ALC),,3/18/11,Treatment of Rett syndrome,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Leadiant Biosciences, Inc.",9841 Washingtonian Blvd.,Suite 500,Gaithersburg,Maryland,20878,United States,329010
acetylcysteine,Acetadote,10/19/01,For the intravenous treatment of moderate to severe acetaminophen overdose,Designated/Approved,,"For the use of Acetadote(registered TM) Injection, administered intravenously within 8 to 10 hours after ingestion of a potentially heptotoxic quantity of acetaminophen, to prevent or lessen hepatic injur", 01/23/2004 , 01/23/2011 ,,"Cumberland Pharmaceuticals, Inc.",209 10th Street South,Suite 332,Nashville,Tennessee,37203,United States,148401
Acetylcysteine,,8/13/87,Intravenous treatment of patients presenting with moderate to severe acetaminophen overdose.,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Company,P. O. Box 4000,,Princeton,New Jersey,8543,United States,20787
acetylcysteine effervescent tablets for oral solution,Cetylev,2/24/15,Preventing hepatic injury from acetaminophin overdose,Designated/Approved,,Indicated to prevent or lessen hepatic injury after ingestion of a potentially hepatotoxic quantity of acetaminophen in patients with acute ingestion or from repeated supratherapeutic ingestion, 01/29/2016 ,  ,,"Arbor Pharmaceuticals, Inc.",6 Concourse Parkway,Suite 1800,Atlanta,Georgia,30328,United States,401713
Aconiazide,,6/20/88,Treatment of tuberculosis.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Lincoln Diagnostics,P.O. Box 1128,,Decatur,Illinois,62525,United States,28288
activated natural killer[aNK]),,3/15/17,Treatment of Merkel cell carcinoma,Designated,Not FDA Approved for Orphan Indication,,,,,"ImmunityBio, Inc.",9920 Jefferson Boulevard,,Culver City,California,90232,United States,562116
Active calcium sensing receptor antagonist derived from tetrahydropyrazolopyrimidine,,6/13/17,Treatment of pulmonary arterial hypertension,Designated,Not FDA Approved for Orphan Indication,,,,,"Takeda Development Centre Europe, Ltd.",61 Aldwych,,London,England,,United Kingdom,568816
ActRIIB-IgG1),,8/16/10,Treatment of Duchenne muscular dystrophy,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Acceleron Pharma, Inc.",128 Sidney St.,,Cambridge,Massachusetts,2139,United States,312310
acyclovir,,9/16/10,Treatment of herpetic keratitis,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,GlaxoSmithKline,One Franklin Plaza,,Philadelphia,Pennsylvania,19101,United States,313210
acyclovir,,5/3/16,Treatment of herpetic keratitis.,Designated,Not FDA Approved for Orphan Indication,,,,,Cumulus Pharmaceuticals LLC,1712 Pioneer Avenue,Suite 1377,Cheyenne,Wyoming,82001,United States,513615
acyclovir,Avaclyr,12/13/10,Treatment of acute herpetic keratitis caused by Herpes Simplex Virus type 1 and 2,Designated/Approved,,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus., 03/29/2019 , 03/29/2026 ,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.,Fera Pharmaceuticals,134 Birch Hill Road,,Locust Valley,New York,11560,United States,325010
Ad5/3-D24-granulocyte-macrophage colony stimulating factor (GMCSF)-encoding oncolytic adenovirus,,3/17/14,Treatment of ovarian cancer,Designated,Not FDA Approved for Orphan Indication,,,,,Targovax YO,Saukonpaadenranta 2,,Helsinki,,,Finland,422814
adalimumab,Humira,5/13/14,"Treatment of non-infectious intermediate, posterior, or panuveitis, or chronic non-infectious anterior uveitis",Designated/Approved,,"Indicated for the treatment of non-infectious intermediate, posterior and panuveitis in adult patients", 06/30/2016 , 06/30/2023 ,"Indicated for the treatment of non-infectious intermediate, posterior and panuveitis in adult patients","AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064,United States,318510
adalimumab,Humira,3/21/05,Treatment of juvenile rheumatoid arthritis,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.,1 North Waukegan Road,Bldg. AP-30,North Chicago,Illinois,60064,United States,200905
adalimumab,HUMIRA,10/19/06,Treatment of pediatric Crohn's disease,Designated/Approved,,"Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 years of age and older with moderately to severely active Crohn's disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate.", 09/23/2014 , 09/23/2021 ,"Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 through 16 years of age with moderately to severely active Crohn's disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate.","AbbVie, Inc.",1 N. Waukegan Road,"Bldg AP30, Dept. PA77",North Chicago,Illinois,60064,United States,230306
adalimumab,HUMIRA,5/13/15,Treatment of moderate to severe hidradenitis suppurativa (Hurley stage 2 and Hurley stage 3 disease),Designated/Approved,,Treatment of moderate to severe hidradenitis suppurativa in patients 12 years of age and older., 10/16/2018 , 10/16/2025 ,Treatment of moderate to severe hidradenitis suppurativa (HS) in adolescent patients 12 years of age and older.,"AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064,United States,446414
adalimumab,Humira,5/13/14,"Treatment of non-infectious intermediate, posterior, or panuveitis, or chronic non-infectious anterior uveitis",Designated/Approved,,"Treatment of non-infectious intermediate, posterior, and panuveitis in adults and pediatric patients 2 years of age and older", 09/28/2018 , 09/28/2025 ,"Treatment of non-infectious intermediate, posterior, and panuveitis in pediatric patients 2 years of age and older","AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064,United States,318510
adalimumab,HUMIRA,5/13/15,Treatment of moderate to severe hidradenitis suppurativa (Hurley stage 2 and Hurley stage 3 disease),Designated/Approved,,Treatment of moderate to severe hidradenitis suppurativa, 09/09/2015 , 09/09/2022 ,Treatment of moderate to severe hidradenitis suppurativa,"AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064,United States,446414
adalimumab,Humira,5/11/11,Treatment of pediatric patients with ulcerative colitis,Designated/Approved,,treatment of moderately to severely active ulcerative colitis in pediatric patients 5 years of age and older. Limitations of Use: The effectiveness of HUMIRA has not been established in patients who have lost response to or were intolerant to TNF blockers., 02/24/2021 , 02/24/2028 ,treatment of moderately to severely active ulcerative colitis in pediatric patients 5 years of age and older. Limitations of Use: The effectiveness of HUMIRA has not been established in patients who have lost response to or were intolerant to TNF blockers.,"AbbVie, Inc.",1 North Waukegan Rd,Dept PA72; Bldg AP30-4,North Chicago,Illinois,60064,United States,340911
adalimumab,,7/10/14,Treatment of Behcet's disease,Designated,Not FDA Approved for Orphan Indication,,,,,Mucora,32b Eisenberg St,,Rehovot 7628810,,,Israel,436714
adalimumab,Humira,3/21/05,Treatment of juvenile rheumatoid arthritis,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 4 years of age and older., 02/21/2008 , 02/21/2015 ,,AbbVie Inc.,1 North Waukegan Road,Bldg. AP-30,North Chicago,Illinois,60064,United States,200905
aden-associated virus vector serotype 9 expressing human a-L-iduronidase,,9/29/15,Treatment of mucopolysaccharidosis Type I (MSP I).,Designated,Not FDA Approved for Orphan Indication,,,,,"REGENXBIO, Inc.",9712 Medical Center Drive,Suite 100,Rockville,Maryland,20850,United States,492015
Adeno Associate Virus carried Multi Characteristic Opsin,,12/30/20,Treatment of Stargardt Disease,Designated,Not FDA Approved for Orphan Indication,,,,,Nanoscope Therapeutics Inc.,"1312 Brown Trail, Ste A,",,Bedford,Texas,76022,United States,769620
adeno associated viral vector containing human ARSB gene,,3/17/11,Treatment of mucopolysaccharidosis type VI (MPS VI; Maroteaux-Lamy syndrome),Designated,Not FDA Approved for Orphan Indication,,,,,Fondazione Telethon,Via Guglielmo Saliceto,,5/a,,,Italy,335011
adeno associated viral vector containing Padua derivative of the human coagulation factor IX cDNA,,4/17/19,Treatment of Hemophilia B,Designated,Not FDA Approved for Orphan Indication,,,,,uniQure Inc.,113 Hartwell Avenue,,Lexington,Massachusetts,2421,United States,632918
adeno associated viral vector serotype rh.10 carrying the human SGSH and SUMF1 cDNAs,,5/6/13,Treatment of mucopolysaccharidosis type IIIA (Sanfilippo type A syndrome),Designated,Not FDA Approved for Orphan Indication,,,,,Lysogene,52 rue La Boetie,,Paris,,,France,395813
Adeno Associated Virus carried Multi Characteristic Opsin,,10/3/17,Treatment of retinitis pigmentosa,Designated,Not FDA Approved for Orphan Indication,,,,,NanoScope Technologies,1312 Brown Trail,,Bedford,Texas,76022,United States,604217
Adeno Associated Virus Serotype 8 Encoding the Collagen Q Gene,,2/24/20,Treatment of Collagen Q Congenital Myasthenia,Designated,Not FDA Approved for Orphan Indication,,,,,Amplo Biotechnology Inc.,"2637 E. Atlantic Blvd., #43644",,Pompano Beach,Florida,33062,United States,725219
adeno associated virus with modified transthyretin and sequence encoding factor IX variant gene,,3/14/14,Treatment of hemophilia B,Designated,Not FDA Approved for Orphan Indication,,,,,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,421814
Adeno-associated vector expressing the human lipoprotein lipase protein,,5/21/07,Treatment of lipoprotein lipase deficiency,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,uniQure B.V.,Meibergdreef 61,1100 DA,Amsterdam,,,Netherlands,240007
adeno-associated viral (AAV) vector serotype rh. 10 encoding the human N-sulfoglycosamine sulphohydrolase cDNA (SGSH),,11/18/15,Treatment of mucopolysaccharidosis type IIIA or Sanfilippo type A syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,LYSOGENE,20 Rue Jacques Dulud,,Neuilly-sur-Seine,άe-de-France,,France,499115
Adeno-associated viral 2/5 (AAV2/5) vector expressing the human KCNJ13 gene,,8/9/21,Treatment of inherited retinal dystrophy due to KCNJ13 biallelic mutations,Designated,Not FDA Approved for Orphan Indication,,,,,Hubble Therapeutics,536 Bay Rd.,,Duxbury,Massachusetts,2332,United States,743320
adeno-associated viral serotype 2 vector under the regulatory control of a CMV promoter encoding the human tripeptidyl peptidase-1 (hTPP1) cDNA,,3/16/16,Treatment of CLN2 disease (neuronal ceroid lipofuscinosis (NCL)) caused by TPP1 deficiency.,Designated,Not FDA Approved for Orphan Indication,,,,,"Spark Therapeutics, Inc.",3737 Market Street,Suite 1300,Philadelphia,Pennsylvania,19104,United States,518516
adeno-associated viral vector 9-containing the human heparan-alpha-glucosaminide N-acetyltransferase (HGSNAT) gene (AAV9- HGSNAT),,1/16/19,Treatment of Sanfilippo Syndrome IIIC (also known as Mucopolysaccharidosis IIIC/MPS IIIC),Designated,Not FDA Approved for Orphan Indication,,,,,"Phoenix Nest, Inc.","710 6th Avenue, #2",,Brooklyn,New York,11215,United States,667518
adeno-associated viral vector composed of a bioengineered AAV capsid and a codon-optimized expression cassette encoding a high-specific activity variant of human coagulation factor IX,,9/21/15,Treatment of hemophilia B.,Designated,Not FDA Approved for Orphan Indication,,,,,Pfizer Inc.,445 Eastern Point Road,MS-8260-1625,Groton,Connecticut,6340,United States,490715
adeno-associated viral vector containing DNA encoding an RNAi targeting rhodopsin in combination with an adeno-associated viral vector containing DNA encoding a rhodopsin gene,,12/13/12,treatment of retinitis pigmentosa,Designated,Not FDA Approved for Orphan Indication,,,,,Spark Therapeutics Ireland Ltd.,Smurfit Institute of Genetics,Trinity College,Dublin 2,,,Ireland,383412
adeno-associated viral vector containing modified U11 snRNA,,9/15/10,Treatment of Duchenne muscular dystrophy.,Designated,Not FDA Approved for Orphan Indication,,,,,uniQure Inc.,113 Hartwell Avenue,,Lexington,Massachusetts,2421,United States,288409
Adeno-associated viral vector containing the gene for human coagulation factor IX,,6/13/01,Intrahepatic treatment of patients with moderate to severe hemophilia,Designated,Not FDA Approved for Orphan Indication,,,,,"Avigen, Inc.",1301 Harbor Bay Parkway,,Alameda,California,94502,United States,145301
Adeno-associated viral vector containing the gene for human coagulation factor IX,,6/13/01,Intramuscular treatment of patients with moderate to severe hemophilia,Designated,Not FDA Approved for Orphan Indication,,,,,"Avigen, Inc.",1301 Harbor Bay Parkway,,Alameda,California,94502,United States,144401
Adeno-associated viral vector differentially expressing microdystrophin 5 gene via the muscle-specific promoter CK8 (rAAV9-CK8-h-D5),,8/31/16,Treatment of Duchenne muscular dystrophy,Designated,Not FDA Approved for Orphan Indication,,,,,"Solid GT, LLC",161 First Street,Suite 3A,Cambridge,Massachusetts,2142,United States,518216
Adeno-Associated Viral Vector encoding C1 Esterase Inhibitor,,8/22/18,Treatment of Angioedema due to C1-Inhibitor Deficiency,Designated,Not FDA Approved for Orphan Indication,,,,,"Adverum Biotechnologies, Inc.",800 Saginaw Drive,,Redwood City,California,94063,United States,648218
Adeno-associated viral vector encoding human multidrug resistance protein 3A (MDR3A),,3/16/20,Treatment of progressive familial intrahepatic cholestasis,Designated,Not FDA Approved for Orphan Indication,,,,,Vivet Therapeutics SAS,80 boulevard Haussmann,,Paris,άe-de-France,,France,729019
Adeno-associated viral vector encoding the human ceroid lipofuscinosis neuronal type 2 (CLN2) gene,,7/12/21,"Treatment of neuronal ceroid lipofuscinosis type 2 (CLN2) disease, Batten disease",Designated,Not FDA Approved for Orphan Indication,,,,,Lexeo Therapeutics,430 East 29th Str,14th Floor,New York,New York,10016,United States,825521
Adeno-associated viral vector encoding the human frataxin (FXN) gene,,6/24/21,Treatment of Friedreichs Ataxia,Designated,Not FDA Approved for Orphan Indication,,,,,Lexeo Therapeutics,430 East 29th Str,14th Floor,New York,New York,10016,United States,822221
Adeno-associated viral vector expressing a cystic fibrosis transmembrane conductance regulator with a partial deletion in the R domain gene,,9/8/20,Treatment of Cystic Fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Spirovant Sciences, Inc.",3675 Market Street,2nd Floor,Philadelphia,Pennsylvania,19104,United States,760820
Adeno-Associated Viral Vector Expressing Codon-optimized Human PCCA cDNA,,8/26/20,Treatment of Propionic Acidemia,Designated,Not FDA Approved for Orphan Indication,,,,,Mayo Clinic,200 First Street SW,,Rochester,Minnesota,55905,United States,759920
Adeno-associated viral vector expressing human acid alpha glucosidase gene,,3/20/07,Treatment of Pompe disease,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Audentes Therapeutics, Inc.","101 Montgomery St., #2650",,San Francisco,California,94104,United States,237107
Adeno-associated viral vector expressing human retinitis pigmentosa GTPase regulator-interacting protein 1 (AAV.Anc80.hRPGRIP1),,11/8/21,RPGRIP1 Mutation-Associated Retinal Dystrophies,Designated,Not FDA Approved for Orphan Indication,,,,,Odylia Therapeutics,1447 Peachtree St. NE,,Atlanta,Georgia,30309,United States,849421
adeno-associated viral vector expressing human retinoschisin-1 gene,,5/21/07,Treatment of X-linked juvenile retinoschisis (XLRS).,Designated,Not FDA Approved for Orphan Indication,,,,,"TeamedOn International, Inc.","2275 Research Blvd, Suite 500",,Rockville,Maryland,20850,United States,238907
Adeno-Associated Viral Vector Expressing Low-Density Lipoprotein Receptor,,1/31/12,Treatment of homozygous familial hypercholesterolemia,Designated,Not FDA Approved for Orphan Indication,,,,,ReGenX Biosciences LLC,"750 17th Street, NW",Suite 1100,Washington,District of Columbia,20006,United States,359411
adeno-associated viral vector expressing the human vascular endothelial growth factor gene,,12/31/15,"Treatment of critical limb ischemia in no-option patients where other procedures, grafts, or angioplasty are not indicated",Designated,Not FDA Approved for Orphan Indication,,,,,"Integene International Holding, LLC",1951 NW 7th Avenue,Suite 300,Miami,Florida,33136,United States,482815
Adeno-Associated Viral Vector Serotype 1 containing the human otoferlin gene,,8/11/21,Rescue of hearing function in patients diagnosed with congenital deafness due to biallelic mutations of the OTOF gene,Designated,Not FDA Approved for Orphan Indication,,,,,"Decibel Therapeutics, Inc.",1325 Boylston Street,,Boston,Massachusetts,2215,United States,832721
